Date,Open,High,Low,Close,Volume,OpenInt
2017-08-21,24.887,25.05,24.8,24.99,174781,0
2017-08-22,25,25.04,24.95,24.98,256148,0
2017-08-23,25.01,25.0814,24.97,25.07,117848,0
2017-08-24,25.03,25.1,25.01,25.02,175598,0
2017-08-25,25.06,25.07,25.01,25.05,82958,0
2017-08-28,25.05,25.08,24.97,25.08,123740,0
2017-08-29,25.04,25.27,25.02,25.12,196888,0
2017-08-30,25.18,25.2,25.12,25.19,134937,0
2017-08-31,25.28,25.33,25.18,25.3,119624,0
2017-09-01,25.2,25.29,25.2,25.21,41704,0
2017-09-05,25.15,25.26,25.15,25.24,308408,0
2017-09-06,25.15,25.24,25.15,25.23,141772,0
2017-09-07,25.25,25.3,25.08,25.16,184107,0
2017-09-08,25.2,25.2,25.07,25.1,146022,0
2017-09-11,25.18,25.27,25.1401,25.25,54416,0
2017-09-12,25.27,25.5,25.2,25.49,110328,0
2017-09-13,25.4676,25.48,25.35,25.44,60689,0
2017-09-14,25.37,25.45,25.13,25.14,192506,0
2017-09-15,25.16,25.2,25.12,25.14,68561,0
2017-09-18,25.2,25.23,25.07,25.19,199296,0
